"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBR072W",303.967343867461,-3.50361418587344,0.47391603313656,-7.39290072691816,1.43659735764646e-13,6.96749718458534e-10
"YGR159C",87.108187054221,2.98303194579558,0.503111539085424,5.92916622667461,3.04476739677087e-09,7.38356093716935e-06
"YER103W",486.780423159752,-2.20709008515893,0.411837329397461,-5.35913072374476,8.36233327062295e-08,0.000135191054541738
"YLR178C",258.879836854416,-2.19706048893302,0.429801113560224,-5.11180734441064,3.19091158420559e-07,0.00029734660901077
"YOR120W",308.303414503178,-1.99204673181538,0.391758566028413,-5.08488366192077,3.6785147506487e-07,0.00029734660901077
"YPL081W",131.278269537022,2.78282043249987,0.546408849433658,5.09292709183647,3.5257730836869e-07,0.00029734660901077
"YNL160W",265.415862263939,-2.12047634801885,0.423218247098094,-5.01036135033981,5.4327927873103e-07,0.000376414928835071
"YIR034C",133.810677882369,-2.1323258403899,0.433179441931207,-4.9225000865312,8.54455268244006e-07,0.000518013506372928
"YNR050C",473.413692928704,-2.27860586404277,0.46634750904655,-4.88606847863601,1.02869431946448e-06,0.000554351938822526
"YFL034C-A",71.4168611839675,2.43805704836634,0.506274100001201,4.81568590682508,1.46695115334585e-06,0.000711471309372738
"YNL142W",129.229152806868,-3.26156217999413,0.700627007191215,-4.65520476161717,3.23658887335844e-06,0.00142704145779895
"YJL052W",832.148413737944,-1.86051369692283,0.404834258516922,-4.595741733268,4.312125455213e-06,0.00160875449675254
"YMR173W",368.718342932532,-1.82832370873727,0.397031390226138,-4.60498528263951,4.1249503203703e-06,0.00160875449675254
"YHR018C",175.906543733293,-3.03690322701185,0.665668144516774,-4.5621880091865,5.06232846275747e-06,0.00175373521745527
"YAL025C",33.966504117576,2.79072417850252,0.616376865008308,4.52762641969845,5.96499157037154e-06,0.00180813806976887
"YDL182W",259.169337864665,-2.19513171773686,0.484295428245319,-4.5326294441601,5.82539555491234e-06,0.00180813806976887
"YDL204W",222.609998925864,-1.8126709922775,0.405416520481794,-4.4711325284015,7.78064612999159e-06,0.00221977257237995
"YDR070C",41.3224356169274,-2.5299479299391,0.570932876383784,-4.43125284002468,9.36871568668821e-06,0.00252434839335766
"YGL147C",871.57775029855,1.98522317908896,0.452118625156858,4.3909343004841,1.12864642239179e-05,0.00261531017075316
"YJR109C",205.970381983996,-2.97851472542624,0.67654153206466,-4.40256005619707,1.06980962729431e-05,0.00261531017075316
"YNR034W-A",232.116161159641,-1.83522965212252,0.418027574962828,-4.3902119430416,1.13240234197559e-05,0.00261531017075316
"YNL015W",140.724398889816,-1.86955241893785,0.428547339689102,-4.36253418419108,1.28564489859214e-05,0.00283426261735085
"YBR189W",1039.38451630149,2.01943019636989,0.466187208205623,4.33180096069725,1.47894611405538e-05,0.00311864724050808
"YOR173W",305.774242049821,-1.68762113713711,0.391698287893445,-4.30847207990912,1.6438622293507e-05,0.00332197158847955
"YDL014W",331.757478592794,2.09721977213166,0.489350052474439,4.28572503778614,1.82144160929907e-05,0.00339768915580788
"YIL069C",379.784339745034,1.89362653539877,0.441567651549569,4.28841770621913,1.79950445872875e-05,0.00339768915580788
"YER042W",40.4227603650828,-3.44830874101056,0.806442991097444,-4.27594855318656,1.90325175337096e-05,0.00341880407549969
"YPR160W",1408.71340172637,-1.60343202496671,0.378435803007051,-4.236998751772,2.26527394962529e-05,0.00392377809131524
"YML128C",532.33679242062,-1.66956933146125,0.399126695770679,-4.18305602995925,2.87616470421342e-05,0.00481013752256382
"YER091C",586.828306824566,-2.11866916755573,0.509877229302544,-4.15525355084759,3.24927012639187e-05,0.00525298670433352
"YNL274C",260.925091190826,-1.80798197370804,0.437629206439157,-4.13131012991338,3.60701555076672e-05,0.00564323400684471
"YLR142W",132.888519232688,-1.82266379588611,0.446382595913088,-4.08318741047197,4.44221696070312e-05,0.00665451177668408
"YOL077C",57.0563655346672,2.16862927167024,0.531689427388501,4.0787519178666,4.52781213671288e-05,0.00665451177668408
"YKR092C",53.865796478799,2.11280269355372,0.523950788212781,4.03244491865464,5.5199555458354e-05,0.00764908125637191
"YMR194W",202.72999362995,1.85051099492771,0.458241606847586,4.03828671878589,5.38430172698136e-05,0.00764908125637191
"YBL042C",64.7149544088347,1.94169513440832,0.483550760255682,4.01549391294852,5.9321429981121e-05,0.00799191487245658
"YBR208C",300.350512419738,-2.40331259413134,0.603270045561433,-3.98380892904221,6.78194082965365e-05,0.00843395205738979
"YLL008W",94.400077503609,1.83846609589785,0.460132598506159,3.99551368859002,6.45541268596611e-05,0.00843395205738979
"YOR243C",68.7174270181289,1.94944763802869,0.488936861972274,3.98711528962044,6.68815302429112e-05,0.00843395205738979
